r_A_r_C,delta_chi_pauling,delta_chi_mulliken,delta_size,entropy_mixing,n_components,vec,delta_hmix,omega,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,label
1.934369602763385,0.4352585438564072,0.2960890913221898,0.04352194531383128,11.52565131835077,4.0,4.0,-1.5155999999999998,10.912143849290366,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,2
2.055045871559633,0.26356925086208366,0.2844622119016866,0.06653748390630733,11.52565131835077,4.0,4.0,-0.5557499999999999,36.70839581603928,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0
2.2672064777327936,0.039999999999999813,0.04092676385936229,0.01669273532638727,11.52565131835077,4.0,9.0,-0.012799999999999881,2162.05010785096,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,2
2.014388489208633,0.3946121513587741,0.24459149617270023,0.08737379713302969,11.52565131835077,4.0,4.0,-1.2457500000000001,12.843364253543308,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,2
2.0,0.4106930118713977,0.29857997253667234,0.0764319091394025,11.52565131835077,4.0,5.5,-1.3493499999999996,12.07167515243798,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,2
2.129277566539924,0.3774917217635374,0.30700162866017505,0.06640398934058163,11.52565131835077,4.0,5.5,-1.1399999999999997,17.676456687475028,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2
2.007168458781362,0.38555155297314,0.2518928343562,0.08816038620966916,11.52565131835077,4.0,4.0,-1.1891999999999998,12.538216422189231,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,1
1.9928825622775799,0.41740268326880703,0.19480759738778164,0.08753291015123732,11.52565131835077,4.0,4.0,-1.3938,14.834169823496518,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,2
2.4944320712694874,0.19227259295073743,0.26182054923172093,0.05786361272501814,11.52565131835077,4.0,5.0,-0.29574999999999974,66.78057852620759,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,2
2.2090729783037473,0.295497461918034,0.3355964838909968,0.11315037088176302,11.52565131835077,4.0,4.0,-0.6985499999999996,25.423502934884763,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,2
2.309278350515464,0.2604203333075204,0.2444764814864612,0.029376921337680467,11.52565131835077,4.0,7.75,-0.5425500000000002,51.75974460816817,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,2
2.281059063136456,0.310604249809947,0.19949937343260002,0.01855485454000874,11.52565131835077,4.0,8.0,-0.7717999999999997,33.370329665699195,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,2
2.2047244094488185,0.4382921400162224,0.3130794627566618,0.06976395727035178,11.52565131835077,4.0,6.75,-1.5367999999999993,16.35963007761873,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,2
2.0779220779220777,0.3152280920222688,0.1852532051004786,0.09850511281972756,11.52565131835077,4.0,5.5,-0.7949499999999998,18.44256446094112,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2
2.1132075471698113,0.3356337289367681,0.398269695056001,0.11661537464424483,11.52565131835077,4.0,4.0,-0.9011999999999993,20.304496420657628,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,2
2.47787610619469,0.26761679693173224,0.2965215000636548,0.06681269411744026,11.52565131835077,4.0,6.0,-0.5729500000000001,37.82071218017502,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,2
2.3045267489711936,0.27188002868912603,0.23794694786863732,0.031069277511402316,11.52565131835077,4.0,8.25,-0.5913499999999999,44.732429763671014,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,2
2.0400728597449906,0.4182328896679456,0.3689427462357812,0.05388050804280157,11.52565131835077,4.0,5.5,-1.3993499999999994,14.785425249476138,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,2
2.1052631578947367,0.39631900030152467,0.3195700236254959,0.07612201778690444,11.52565131835077,4.0,5.5,-1.2565499999999992,19.758390437992443,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,2
